证券代码,证券简称,交易所,板块,上市日期,行业
000001.SZ,平安银行,深圳证券交易所,主板,1991-04-03,金融
000002.SZ,万科A,深圳证券交易所,主板,1991-01-29,房地产
000004.SZ,*ST国华,深圳证券交易所,主板,1990-12-01,信息技术
000006.SZ,深振业A,深圳证券交易所,主板,1992-04-27,房地产
000007.SZ,全新好,深圳证券交易所,主板,1992-04-13,房地产
000008.SZ,神州高铁,深圳证券交易所,主板,1992-05-07,工业
000009.SZ,中国宝安,深圳证券交易所,主板,1991-06-25,工业
000010.SZ,美丽生态,深圳证券交易所,主板,1995-10-27,工业
000011.SZ,深物业A,深圳证券交易所,主板,1992-03-30,房地产
000012.SZ,南玻A,深圳证券交易所,主板,1992-02-28,原材料
000014.SZ,沙河股份,深圳证券交易所,主板,1992-06-02,房地产
000016.SZ,深康佳A,深圳证券交易所,主板,1992-03-27,可选消费
000017.SZ,深中华A,深圳证券交易所,主板,1992-03-31,可选消费
000019.SZ,深粮控股,深圳证券交易所,主板,1992-10-12,工业
000020.SZ,深华发A,深圳证券交易所,主板,1992-04-28,信息技术
000021.SZ,深科技,深圳证券交易所,主板,1994-02-02,信息技术
000025.SZ,特力A,深圳证券交易所,主板,1993-06-21,房地产
000026.SZ,飞亚达,深圳证券交易所,主板,1993-06-03,可选消费
000027.SZ,深圳能源,深圳证券交易所,主板,1993-09-03,公用事业
000028.SZ,国药一致,深圳证券交易所,主板,1993-08-09,医药卫生
000029.SZ,深深房A,深圳证券交易所,主板,1993-09-15,房地产
000030.SZ,富奥股份,深圳证券交易所,主板,1993-09-29,可选消费
000031.SZ,大悦城,深圳证券交易所,主板,1993-10-08,房地产
000032.SZ,深桑达A,深圳证券交易所,主板,1993-10-28,工业
000034.SZ,神州数码,深圳证券交易所,主板,1994-05-09,可选消费
000035.SZ,中国天楹,深圳证券交易所,主板,1994-04-08,工业
000036.SZ,华联控股,深圳证券交易所,主板,1994-06-17,房地产
000037.SZ,深南电A,深圳证券交易所,主板,1994-07-01,公用事业
000039.SZ,中集集团,深圳证券交易所,主板,1994-04-08,工业
000042.SZ,中洲控股,深圳证券交易所,主板,1994-09-21,房地产
000045.SZ,深纺织A,深圳证券交易所,主板,1994-08-15,信息技术
000048.SZ,京基智农,深圳证券交易所,主板,1994-11-01,房地产
000049.SZ,德赛电池,深圳证券交易所,主板,1995-03-20,工业
000050.SZ,深天马A,深圳证券交易所,主板,1995-03-15,信息技术
000055.SZ,方大集团,深圳证券交易所,主板,1996-04-15,工业
000056.SZ,皇庭国际,深圳证券交易所,主板,1996-07-08,房地产
000058.SZ,深赛格,深圳证券交易所,主板,1996-12-26,工业
000059.SZ,华锦股份,深圳证券交易所,主板,1997-01-30,能源
000060.SZ,中金岭南,深圳证券交易所,主板,1997-01-23,原材料
000061.SZ,农产品,深圳证券交易所,主板,1997-01-10,工业
000062.SZ,深圳华强,深圳证券交易所,主板,1997-01-30,工业
000063.SZ,中兴通讯,深圳证券交易所,主板,1997-11-18,通信服务
000065.SZ,北方国际,深圳证券交易所,主板,1998-06-05,工业
000066.SZ,中国长城,深圳证券交易所,主板,1997-06-26,信息技术
000068.SZ,华控赛格,深圳证券交易所,主板,1997-06-11,工业
000069.SZ,华侨城A,深圳证券交易所,主板,1997-09-10,可选消费
000070.SZ,特发信息,深圳证券交易所,主板,2000-05-11,通信服务
000078.SZ,海王生物,深圳证券交易所,主板,1998-12-18,医药卫生
000088.SZ,盐田港,深圳证券交易所,主板,1997-07-28,工业
000089.SZ,深圳机场,深圳证券交易所,主板,1998-04-20,工业
000090.SZ,天健集团,深圳证券交易所,主板,1999-07-21,工业
000096.SZ,广聚能源,深圳证券交易所,主板,2000-07-24,能源
000099.SZ,中信海直,深圳证券交易所,主板,2000-07-31,工业
000100.SZ,TCL科技,深圳证券交易所,主板,2004-01-30,信息技术
000151.SZ,中成股份,深圳证券交易所,主板,2000-09-06,工业
000153.SZ,丰原药业,深圳证券交易所,主板,2000-09-20,医药卫生
000155.SZ,川能动力,深圳证券交易所,主板,2000-09-26,公用事业
000156.SZ,华数传媒,深圳证券交易所,主板,2000-09-06,通信服务
000157.SZ,中联重科,深圳证券交易所,主板,2000-10-12,工业
000158.SZ,常山北明,深圳证券交易所,主板,2000-07-24,信息技术
000159.SZ,国际实业,深圳证券交易所,主板,2000-09-26,能源
